name,brand_name,regular_price_value,offer_price_value,currency,classification_l1,classification_l2,classification_l3,classification_l4,image_url
Jellycat Blossom Tulip Bunny Grabber  Pink,jellycat,12,12,GBP,baby & child,soft toys,,,https://johnlewis.scene7.com/is/image/JohnLewis/237070760?
iCandy Peach All Terrain Pushchair and Carrycot  Forest,icandy,1080,1080,GBP,baby & child,buggies & travel,pushchairs & prams,,https://johnlewis.scene7.com/is/image/JohnLewis/237781332?
Simon Carter Laser Engraved Button Cufflinks  Gunmetal,simon carter,50,50,GBP,men,men's accessories,men's cufflinks,,https://johnlewis.scene7.com/is/image/JohnLewis/237637957?
Oasis Broderie Short Sleeve Top  Black,oasis,28,15,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004263617?
Outwell Sleepin 3.0cm Inflatable Single Camping Mat  Black,outwell,24.99,17,GBP,sport & leisure,camping & camping accessories,,,https://johnlewis.scene7.com/is/image/JohnLewis/235522311?
Rory Dobner Supersize Love Wild Fig and Grape Scented Candle  2.86kg,rory dobner,265,265,GBP,home & garden,candles & home fragrance,candles,,https://johnlewis.scene7.com/is/image/JohnLewis/237870752alt1?
Aspinal of London Leather Zipped Coin Purse  Evergreen,aspinal of london,38.5,38.5,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238183462
John Lewis & Partners Victoria Check Mini Lite Umbrella  Grey,john lewis & partners,18,18,GBP,women,women's umbrellas,,,https://johnlewis.scene7.com/is/image/JohnLewis/237383441?
John Lewis & Partners Donegal Wool Hat,john lewis & partners,24,8.4,GBP,men,men's accessories,men's hats  gloves & scarves,,https://johnlewis.scene7.com/is/image/JohnLewis/004111128?
Betty & Co. Tailored Trousers  Dark Sapphire,betty & co.,85,25.5,GBP,women,women's trousers & leggings,,,https://johnlewis.scene7.com/is/image/JohnLewis/003869383?
John Lewis & Partners Donegal Wool Hat,john lewis & partners,24,8.4,GBP,men,men's accessories,men's hats  gloves & scarves,,https://johnlewis.scene7.com/is/image/JohnLewis/004111127?
LG Outdoor Saigon 2 Seat Garden Relaxer Table & Chairs Set  Natural,lg outdoor,999,999,GBP,furniture & lights,garden,garden furniture sets,,https://johnlewis.scene7.com/is/image/JohnLewis/237921545?
Lancôme Energie De Vie Eye The Illuminating & Anti-Fatigue Cooling Eye Gel  15ml,lancôme,22.52,22.52,GBP,beauty,skin care  treatments & supplements,eye care,,https://johnlewis.scene7.com/is/image/JohnLewis/236937863?
west elm Foundations Small Bowl Vase  Brass  H11cm,west elm,9.6,8,GBP,home & garden,vases,,,https://johnlewis.scene7.com/is/image/JohnLewis/238056505?
hush Gabby Weekend Leather Bag  Black,hush,249,249,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/237924827?
John Lewis & Partners Satin Fleece Robe  Blue Grey,john lewis & partners,39,39,GBP,women,women's nightwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004007672?
Neal's Yard Remedies Geranium and Orange Hand Lotion  200ml,neal's yard remedies,14,14,GBP,beauty,hand & foot care,,,https://johnlewis.scene7.com/is/image/JohnLewis/000252289?
Betty & Co Drawstring Trousers  Light Silver Melange,betty & co.,70,49,GBP,women,women's trousers & leggings,,,https://johnlewis.scene7.com/is/image/JohnLewis/003390733?
JUNAROSE Curve Mulle Toile Print Top  Vanilla Ice,junarose,28,8,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004091389
Guerlain Abeille Royale Skin Defense SPF50/PA++++  30ml,guerlain,48.6,48.6,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237923446?
ESPA Balancing Foam Cleanser  150ml,espa,25,25,GBP,beauty,skin care  treatments & supplements,cleansers & toners,,https://johnlewis.scene7.com/is/image/JohnLewis/236797235?
Dior Miss Dior Blooming Bouquet Roller-Pearl  20ml,dior,33,33,GBP,beauty,women's fragrance,,,https://johnlewis.scene7.com/is/image/JohnLewis/237313632?
Lancôme Définicils Mascara  01 Noir Infini,lancôme,22.05,22.05,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/230649491?
Jigsaw Girls' Pom Pom Jersey T-Shirt  White,jigsaw,13,13,GBP,baby & child,girls' clothes (2+ yrs),girls' shirts & tops,,https://johnlewis.scene7.com/is/image/JohnLewis/004015078alt1?
Trilogy Ultra Hydrating Face Cream  75ml,trilogy,25.5,25.5,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/000235186?
John Lewis & Partners Relaxed V-Neck Cashmere Sweater,john lewis & partners,99,99,GBP,women,women's knitwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004193458?
